#edited
001 B	12/31/2021	08:30:00	
002 P	12/31/2021	08:30:00	MSL	TXE	N
003 V	12/31/2021	08:30:00	3	3
004 S	12/31/2021	08:30:52	1	256	1.68	1	5	MSL	TXE	3	3		South
005 S	12/31/2021	08:33:50	2	258	1.25	1.5	2	MSL	TXE	3	3		South
006 S	12/31/2021	08:40:08	2	243	1.19	1.6	2	MSL	TXE	3	3		South
007 S	12/31/2021	09:03:23	3	284	1.47	1.2	2	MSL	TXE	3	3		South
008 S	12/31/2021	09:05:59	4	246	1.31	1.4	1	MSL	TXE	3	3		South
010 S	12/31/2021	09:08:16	3	278	1.47	1.2	5	MSL	TXE	3	3		South
011 C	12/31/2021	09:15:14	Risso's at 255, 7.5 reticles. 8 animals northbound. very white
013 S	12/31/2021	09:18:42	3	260	1.25	1.5	5	MSL	TXE	3	3		South
014 S	12/31/2021	09:19:26	5	270	1.47	1.2	2	MSL	TXE	3	3		South
015 S	12/31/2021	09:40:59	6	279	0.31	7.5	1	MSL	TXE	3	3		South
016 S	12/31/2021	09:44:39	7	276	1.6		1.5	1	MSL	TXE	3	3		South
017 S	12/31/2021	09:46:50	8	250	1.95	0.8	1	MSL	TXE	3	3		South
018 P	12/31/2021	10:00:00	TXE	MSL	N
019 V	12/31/2021	10:00:00	3	3
020 S	12/31/2021	10:02:59	9	285	2.59	0.5	1	TXE	MSL	3	3		South
021 V	12/31/2021	10:10:04	4	3
022 S	12/31/2021	10:27:00	10	285	1.68	1	2	TXE	MSL	4	3		South
023 V	12/31/2021	10:30:24	4	4
024 E	12/31/2021	11:00:00
025 C	12/31/2021	11:00:18	end early due to wind,stayed on site until 1:30 but got worse, forcast bad too
